L2,L3,L4,規格,単位,数量,routes
マンホール工,人孔改築工,流動性特殊モルタル,,m3,0.01715,['429-2']
マンホール工,人孔改築工,足掛金物,W=300,個,1.0,['429-2']
マンホール工,人孔改築工,鉄蓋,φ600 T-14,組,2.0,['429-2']
付帯工,管撤去工,既設管撤去,Tφ250,m,1.55,['429-2']
付帯工,管撤去工,陶磁器くず運搬,,m3,0.03,['429-2']
付帯工,舗装撤去工,舗装版切断,ｱｽﾌｧﾙﾄ t=15cm以下,m,4.0,['429-2']
付帯工,舗装撤去工,舗装版破砕積込,ｱｽﾌｧﾙﾄ t=5cm以下,m2,1.6,['429-2']
共通仮設費,準備費,本管TV調査工,施工前,m,17.2,['429-2']
共通仮設費,準備費,本管TV調査工,施工後,m,17.2,['429-2']
共通仮設費,準備費,管内洗浄工,施工前,m,17.2,['429-2']
共通仮設費,準備費,管内洗浄工,施工後,m,17.2,['429-2']
取付管およびます工,ます設置工,小口径汚水桝,T-14,箇所,3.0,['429-2']
取付管およびます工,取付管布設工,Tφ150土工延長,,m,1.2,['429-2']
取付管およびます工,取付管布設工,取付管および支管取付工,3m未満,箇所,3.0,['429-2']
管きょ更生工,既設管渠250mm,内面更生工,反転・引込工 硬化・形成工,m,17.2,['429-2']
管きょ更生工,既設管渠250mm,更生付帯工,仮設備設置・撤去工,回,1.0,['429-2']
管きょ更生工,既設管渠250mm,更生付帯工,取付管口せん孔仕上工,箇所,3.0,['429-2']
管きょ更生工,既設管渠250mm,更生付帯工,本管口切断工 本管口仕上工,箇所,2.0,['429-2']
管きょ更生工,既設管渠250mm,更生管材,更生自立管,m,18.1,['429-2']
管きょ更生工,既設管渠250mm,管きょ延長（φ250）,,m,17.2,['429-2']
管きょ更生工,既設管渠250mm,路線延長（φ250）,,m,18.1,['429-2']
管布設工,VU管φ250,マンホール用継手,上流用,個,1.0,['429-2']
管布設工,VU管φ250,マンホール用継手,下流用,個,1.0,['429-2']
管布設工,VU管φ250,管布設工,VU管,m,0.55,['429-2']
管路土工,掘削,埋戻,再生砂,m3,1.0,['429-2']
管路土工,掘削,掘削,,m3,1.3,['429-2']
管路土工,掘削,残土処分工,,m3,1.3,['429-2']
管路土工,掘削,砂基礎工,再生砂,m3,0.1,['429-2']
