エリア,No.,落札日,案件名,機関（発注者名）,落札会社名,落札価格（円）,支店名,電話番号,担当者,メールアドレス,Mazricaコンタクト,アプローチ方法,ステータス,最終接点日,Malme担当,アクション履歴
北海道,1,2026/3/19,江差道路事務所管内 道路附属物点検業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,HRS株式会社,32390000,,,,,,,,,,
北海道,2,2026/3/5,池田河川事務所管内工事箇所測量業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,HRS株式会社,30200000,,,,,,,,,,
北海道,3,2025/9/19,一般国道5号 ニセコ町 元町測量調査業務,国土交通省(MLIT) 北海道開発局 小樽開発建設部,HRS株式会社,31735000,,,,,,,,,,
北海道,4,2026/3/12,富良野税務署改修25設備工事監理業務,国土交通省(MLIT) 北海道開発局,KSK小山一級建築士事務所,3400000,,,,,,,,,,
北海道,5,2026/1/29,留萌開発建設部改修25工事監理業務,国土交通省(MLIT) 北海道開発局,KSK小山一級建築士事務所,4980000,,,,,,,,,,
北海道,6,2026/3/12,富良野税務署改修25設備工事監理業務,国土交通省(MLIT) 北海道開発局,KSK小山一級建築士事務所~,3400000,,,,,,,,,,
北海道,7,2026/1/29,留萌開発建設部改修25工事監理業務,国土交通省(MLIT) 北海道開発局,KSK小山一級建築士事務所~,4980000,,,,,,,,,,
北海道,8,2026/3/13,旧美唄川外航空レーザ測深測量外業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,アジア航測株式会社,55370000,,,,,,,,,,
北海道,9,2026/3/5,一般国道36号白老町萩野測量業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,アルファ計画株式会社,18700000,,,,,,,,,,
北海道,10,2026/3/2,札幌河川事務所管内河川管理施設監理検討業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,スイコー・ケイジー設計JV,42700000,,,,,,,,,,
北海道,11,2026/3/11,旭川河川事務所管内 河川管理施設監理検討外業務,国土交通省(MLIT) 北海道開発局 旭川開発建設部,スイコー・日興設計JV,51700000,,,,,,,,,,
